JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
Sales Associate,Female,42,5,College,Finance,1,139043,8581
Software Engineer,Female,45,1,PhD,Marketing,5,87532,9234
Manager,Female,64,4,College,Sales,4,62662,6148
Sales Associate,Female,63,5,High School,Sales,4,93361,7921
Human Resources,Female,60,3,High School,Finance,4,90098,4122
Marketing Associate,Male,33,5,College,Engineering,2,103134,8133
Software Engineer,Female,50,1,PhD,Marketing,1,62082,9728
Human Resources,Female,38,4,PhD,Operations,5,93449,4303
IT,Female,31,2,Masters,IT,1,135950,4382
Graphic Designer,Male,51,5,Masters,IT,2,98553,7289
Financial Analyst,Male,47,4,High School,Administration,3,136385,4872
Manager,Female,64,3,College,Finance,4,99601,7313
Human Resources,Male,56,1,College,Operations,3,111564,4057
Financial Analyst,Female,24,5,College,Management,2,134214,8780
Human Resources,Female,31,4,Masters,IT,1,103610,4701
Software Engineer,Male,59,3,Masters,IT,3,92081,9568
Human Resources,Male,46,2,High School,Finance,5,125444,5061
Sales Associate,Male,56,1,High School,Marketing,5,123945,4924
Human Resources,Female,36,4,PhD,Sales,2,51305,3554
IT,Male,62,4,Masters,Sales,2,96054,7822
Financial Analyst,Female,59,3,Masters,Sales,3,131697,6459
Graphic Designer,Male,42,1,Masters,Sales,5,55040,5051
Sales Associate,Male,50,1,College,IT,4,116971,8096
Graphic Designer,Male,28,3,College,Administration,1,122857,4820
Marketing Associate,Female,31,2,Masters,Administration,2,92925,8711
Software Engineer,Male,34,3,High School,Finance,2,59976,7084
Human Resources,Female,39,5,High School,Sales,2,84759,4842
Manager,Female,54,3,Masters,Administration,1,125309,8877
Financial Analyst,Male,36,2,Masters,Marketing,2,144862,6059
Software Engineer,Female,22,4,PhD,Engineering,1,112453,7371
Financial Analyst,Female,37,2,Masters,Sales,2,66697,8465
Software Engineer,Male,43,4,Masters,Management,3,103479,7829
Human Resources,Male,56,5,PhD,Marketing,3,130956,6440
Software Engineer,Male,26,4,College,Operations,5,67558,5708
Sales Associate,Female,41,2,Masters,Operations,1,97627,5197
Human Resources,Female,44,1,PhD,IT,5,93696,9213
Software Engineer,Female,45,1,PhD,Management,4,91770,7779
Financial Analyst,Male,63,2,PhD,Engineering,2,108775,3959
Graphic Designer,Female,28,2,PhD,IT,5,135593,9946
Sales Associate,Female,51,2,Masters,Operations,4,68199,4498
Manager,Female,29,2,High School,Operations,2,106581,5222
Sales Associate,Female,25,1,College,Engineering,3,82169,8769
IT,Male,41,4,College,Sales,1,65604,5239
Manager,Male,53,1,High School,Engineering,5,50779,7354
Financial Analyst,Male,33,3,Masters,Marketing,3,128210,5929
Human Resources,Male,51,2,College,Engineering,4,53104,4588
IT,Female,54,4,Masters,Engineering,2,121412,9072
Software Engineer,Female,31,3,College,Sales,1,55431,7147
Graphic Designer,Female,35,3,High School,Finance,2,101578,5793
Manager,Male,32,1,PhD,Engineering,3,74130,5307
Marketing Associate,Female,25,1,College,Administration,5,80411,9266
Marketing Associate,Male,52,2,College,Engineering,2,94041,5112
Sales Associate,Female,37,1,Masters,Sales,3,60092,8478
Graphic Designer,Male,38,3,Masters,Operations,2,100019,5362
Sales Associate,Female,28,5,College,Engineering,2,145976,4169
Marketing Associate,Female,25,4,High School,Marketing,2,55799,9007
IT,Male,58,4,College,Administration,2,65738,9076
IT,Male,48,1,Masters,Administration,2,114318,5374
Software Engineer,Female,62,5,Masters,Engineering,5,103132,9776
Human Resources,Male,45,5,College,Management,3,133368,7920
Software Engineer,Female,31,4,PhD,Marketing,1,122811,4529
Sales Associate,Female,51,5,PhD,Management,3,141611,9542
Sales Associate,Male,31,5,College,Sales,1,91189,7882
IT,Female,21,3,College,Operations,4,104142,8877
Marketing Associate,Male,44,5,High School,Operations,2,55685,7079
Human Resources,Female,39,1,Masters,Marketing,5,82935,7337
Manager,Male,63,1,High School,Finance,3,60013,6455
Human Resources,Female,33,5,Masters,Marketing,4,107034,7801
Graphic Designer,Male,21,1,PhD,Administration,2,120888,3122
Marketing Associate,Female,51,5,College,Sales,4,103886,5467
Software Engineer,Male,21,1,College,Operations,1,108574,9961
Marketing Associate,Male,40,2,High School,Sales,2,124674,4480
Graphic Designer,Male,61,4,College,IT,5,140227,3195
Marketing Associate,Male,54,5,College,Sales,2,57031,7516
Human Resources,Male,63,3,PhD,Management,1,88626,3236
Software Engineer,Male,39,4,PhD,Sales,3,140370,4515
Software Engineer,Male,20,3,High School,Administration,1,90476,5089
Human Resources,Female,60,4,Masters,Administration,1,51921,3308
Graphic Designer,Male,28,1,PhD,Administration,5,110414,5570
Sales Associate,Female,33,1,College,Engineering,1,132058,6480
Financial Analyst,Male,54,5,PhD,Marketing,1,63687,4244
Financial Analyst,Female,64,2,Masters,IT,3,60032,7242
Manager,Male,20,3,PhD,Engineering,2,50931,7708
Marketing Associate,Male,24,3,High School,Operations,1,140515,3329
Marketing Associate,Male,24,4,PhD,Marketing,5,145530,3109
Sales Associate,Female,51,2,Masters,Operations,1,142232,6145
Marketing Associate,Female,21,2,PhD,Administration,5,117916,9580
Graphic Designer,Male,46,4,PhD,Administration,1,80346,6140
Sales Associate,Female,60,1,High School,Management,2,90096,8180
Manager,Female,63,5,High School,Administration,2,73428,9007
Software Engineer,Female,55,1,PhD,Administration,1,115038,8282
Graphic Designer,Male,23,5,PhD,Sales,2,108160,8968
Sales Associate,Female,57,5,PhD,Operations,2,52984,9113
Financial Analyst,Female,24,2,Masters,Engineering,1,59229,8639
Manager,Male,52,5,High School,IT,5,73979,5560
Financial Analyst,Male,46,4,PhD,Operations,4,132057,5694
Marketing Associate,Female,31,2,High School,Finance,1,108248,5693
Graphic Designer,Male,44,1,Masters,Management,4,122610,3691
Financial Analyst,Female,53,1,High School,Finance,4,113400,8103
Manager,Female,49,3,PhD,Administration,5,94486,9772
Graphic Designer,Male,46,1,PhD,Management,1,82893,8392
Financial Analyst,Male,38,3,High School,Marketing,4,118600,3778
IT,Female,24,2,Masters,Management,5,78517,6494
Sales Associate,Male,39,1,High School,Administration,3,96966,9249
IT,Female,51,3,College,Finance,5,143396,5142
Financial Analyst,Male,55,2,High School,Management,2,74973,5428
Manager,Male,63,2,Masters,Marketing,4,54569,5873
Graphic Designer,Female,37,5,College,Management,4,61049,4476
Manager,Male,25,5,High School,Operations,1,89438,9864
Sales Associate,Female,43,2,PhD,Sales,1,67095,6471
IT,Male,42,2,Masters,Administration,4,53814,6935
Graphic Designer,Female,46,2,PhD,Sales,3,63246,4934
IT,Male,52,4,College,Finance,2,111130,4499
IT,Female,26,4,High School,Marketing,4,125209,4087
Sales Associate,Female,60,4,College,Management,2,78393,9998
Graphic Designer,Female,36,2,Masters,Management,2,130011,9793
Human Resources,Female,64,1,High School,Marketing,1,113867,5587
Graphic Designer,Female,36,2,Masters,Sales,5,67905,6875
Marketing Associate,Male,44,2,PhD,Management,3,111275,4496
Software Engineer,Female,28,1,High School,IT,5,53628,6685
IT,Male,52,5,Masters,Management,5,121620,8728
Marketing Associate,Female,21,2,Masters,Engineering,3,117378,5832
Financial Analyst,Female,50,5,High School,Sales,5,130597,5601
Financial Analyst,Male,21,2,Masters,Administration,4,86124,6524
Sales Associate,Female,65,1,PhD,Engineering,3,104974,7168
IT,Female,47,4,High School,Operations,5,99705,5269
Human Resources,Female,45,3,College,Engineering,1,65463,7626
Software Engineer,Female,39,1,Masters,Engineering,3,82706,9957
Human Resources,Female,46,5,Masters,Finance,1,121261,3215
Human Resources,Male,29,3,Masters,Marketing,1,90003,7041
IT,Female,63,2,Masters,Sales,3,134256,8598
Graphic Designer,Female,51,1,High School,IT,2,130672,8732
Human Resources,Male,64,2,High School,Administration,2,148238,4397
IT,Female,53,4,High School,Marketing,4,51357,5601
Marketing Associate,Female,21,4,PhD,Administration,1,147038,4931
Human Resources,Female,49,5,Masters,Administration,2,130438,8658
IT,Male,46,5,Masters,Marketing,2,126170,7896
Marketing Associate,Male,41,1,College,Marketing,3,148750,7608
Financial Analyst,Female,39,1,Masters,Finance,5,54985,3653
Manager,Male,29,1,High School,Marketing,3,107676,9839
Financial Analyst,Female,47,4,High School,IT,5,51180,5653
Sales Associate,Female,52,3,Masters,Operations,2,142551,9500
Software Engineer,Male,35,2,Masters,Marketing,5,87311,4461
Marketing Associate,Male,36,4,College,Finance,1,86191,3790
Manager,Male,59,1,Masters,IT,5,115865,9870
Graphic Designer,Male,35,4,Masters,Operations,5,132939,6015
Software Engineer,Female,40,2,College,IT,3,131585,7933
Software Engineer,Female,55,5,Masters,Administration,5,137359,8412
Graphic Designer,Female,56,4,High School,Administration,4,91285,7791
Sales Associate,Male,64,3,PhD,Finance,3,68164,9359
Software Engineer,Female,32,3,PhD,Administration,3,69187,5459
Graphic Designer,Male,34,5,PhD,Operations,5,134855,3976
Human Resources,Male,54,2,Masters,Management,3,116518,3471
Human Resources,Male,41,1,PhD,Engineering,3,104388,3119
IT,Male,36,1,PhD,Finance,2,52730,3866
IT,Female,57,4,High School,Management,4,59060,9285
Marketing Associate,Female,20,5,PhD,Engineering,2,130460,9500
Manager,Female,38,5,College,Management,3,86595,3446
Software Engineer,Female,55,4,College,Operations,1,102962,8727
Human Resources,Female,30,2,High School,Sales,2,55281,3692
Software Engineer,Male,33,2,College,Engineering,3,58290,7182
Graphic Designer,Female,29,3,College,Sales,3,81478,5884
Financial Analyst,Female,63,4,High School,Finance,5,63238,7627
Sales Associate,Male,49,4,College,Finance,2,75129,4906
Sales Associate,Female,32,2,High School,Finance,5,118431,8687
Financial Analyst,Female,35,3,High School,Engineering,2,146586,4198
Graphic Designer,Female,20,4,PhD,Operations,1,73835,7594
Marketing Associate,Male,61,3,College,Management,1,103258,6572
Sales Associate,Female,58,4,PhD,Administration,2,73948,7002
IT,Male,26,5,High School,Finance,4,121704,5969
Financial Analyst,Male,31,3,PhD,IT,5,121221,5054
Software Engineer,Female,22,4,High School,Finance,4,72821,4566
Software Engineer,Female,39,1,Masters,Management,3,51597,5300
IT,Female,55,1,Masters,Operations,2,119967,6709
Graphic Designer,Male,36,2,High School,Management,1,118883,9053
Sales Associate,Female,41,2,PhD,IT,4,96665,7857
Sales Associate,Male,23,4,College,IT,4,51040,4483
IT,Male,21,1,Masters,Sales,5,97484,4816
Software Engineer,Female,56,3,High School,Operations,3,78322,5713
Manager,Female,59,4,Masters,Marketing,4,98710,7662
Manager,Male,34,5,Masters,Management,4,99747,9433
IT,Male,33,3,PhD,Sales,2,76212,3848
Manager,Female,58,1,PhD,Administration,3,137666,4507
Sales Associate,Male,35,5,PhD,Marketing,5,146160,7184
IT,Female,51,1,Masters,Sales,3,111198,6856
Marketing Associate,Male,39,3,PhD,Operations,4,62139,6520
Graphic Designer,Male,26,3,Masters,Finance,4,61580,3432
Manager,Male,25,5,PhD,Marketing,3,125649,3186
Human Resources,Male,22,3,College,Sales,5,105932,4718
Software Engineer,Male,37,5,PhD,Finance,2,90531,4883
Graphic Designer,Male,35,5,College,IT,3,51870,3742
IT,Female,39,3,Masters,Management,1,94547,3779
Human Resources,Male,45,3,PhD,Sales,5,72784,6520
Human Resources,Male,59,5,PhD,Management,2,123765,7491
Graphic Designer,Male,38,1,Masters,Administration,3,79172,4709
Financial Analyst,Female,36,2,PhD,Engineering,5,105761,6146
Software Engineer,Male,32,1,College,Sales,5,147245,5564
IT,Female,30,3,Masters,Operations,5,71174,7789
Sales Associate,Female,34,2,College,Marketing,4,96697,6270
Software Engineer,Female,23,1,Masters,Marketing,3,148025,4349
Financial Analyst,Female,62,2,High School,Administration,2,129514,4931
Marketing Associate,Male,34,1,College,Sales,4,104016,3517
Sales Associate,Male,65,5,High School,Engineering,4,94792,9777
Financial Analyst,Male,44,2,College,IT,4,88093,9151
Financial Analyst,Female,33,4,PhD,IT,5,52239,9848
Marketing Associate,Female,27,1,Masters,Engineering,1,106497,3779
Sales Associate,Male,30,2,College,Sales,5,145525,5261
Marketing Associate,Female,38,4,Masters,Finance,4,115448,8137
Manager,Male,36,5,High School,Sales,4,116094,3407
IT,Female,37,4,High School,Administration,1,142219,8453
Graphic Designer,Female,51,1,Masters,Operations,2,88057,8739
Graphic Designer,Female,56,1,PhD,Engineering,1,128476,3531
Sales Associate,Male,61,4,Masters,IT,4,70227,6224
Financial Analyst,Male,48,2,High School,Engineering,4,122062,3941
Human Resources,Female,32,2,College,Marketing,5,140640,5829
Graphic Designer,Male,60,3,PhD,Marketing,2,128145,9498
Financial Analyst,Male,62,1,PhD,Finance,2,77746,9837
Financial Analyst,Male,52,3,High School,Sales,3,106189,5172
Manager,Male,30,1,High School,IT,2,72312,7427
Marketing Associate,Female,55,2,Masters,Marketing,2,131783,3202
Graphic Designer,Female,44,5,PhD,Operations,4,115126,3454
Sales Associate,Male,61,4,Masters,Administration,2,117806,4868
Sales Associate,Female,20,3,Masters,Finance,1,67038,6267
IT,Male,61,5,High School,Engineering,5,76488,4475
Software Engineer,Female,49,3,PhD,Engineering,5,86096,6632
Manager,Male,31,1,High School,Management,4,80252,7493
Human Resources,Female,40,1,High School,Sales,4,125766,6755
IT,Male,34,3,High School,Marketing,2,81363,9081
Human Resources,Male,51,1,High School,Marketing,3,134313,8413
IT,Male,25,5,Masters,Marketing,5,63429,4067
Marketing Associate,Male,26,5,PhD,IT,4,132890,5038
Human Resources,Male,46,3,Masters,Finance,1,55939,9384
IT,Female,36,4,High School,IT,3,57489,7325
Human Resources,Male,62,3,PhD,Administration,4,82633,4929
Graphic Designer,Male,22,3,Masters,Operations,4,127250,5079
Financial Analyst,Female,49,3,College,Marketing,3,131836,9576
Software Engineer,Female,48,5,High School,Finance,2,135578,3278
Financial Analyst,Male,65,4,High School,IT,3,109143,9145
Graphic Designer,Male,47,3,Masters,Engineering,5,63741,6719
Sales Associate,Female,54,2,College,Marketing,1,134115,7831
Sales Associate,Male,59,5,Masters,Operations,2,148602,5742
Manager,Male,25,2,PhD,Sales,2,97332,6650
Graphic Designer,Male,46,3,High School,Marketing,5,130672,5269
Graphic Designer,Male,46,3,Masters,Operations,5,83182,8895
Financial Analyst,Male,65,1,Masters,Finance,3,96666,7180
Financial Analyst,Female,48,2,PhD,IT,3,130911,9269
Human Resources,Female,47,2,PhD,Finance,2,130221,6842
Graphic Designer,Male,62,3,Masters,Engineering,5,65916,5780
Marketing Associate,Female,44,2,Masters,Finance,2,63332,8983
Human Resources,Female,22,3,Masters,Engineering,4,84033,3831
Manager,Male,37,3,College,Engineering,2,83361,6524
Sales Associate,Male,54,4,Masters,Finance,1,54180,7943
Financial Analyst,Male,24,4,Masters,Management,5,147869,8254
Marketing Associate,Male,37,1,Masters,Sales,2,66799,5131
Graphic Designer,Female,38,1,High School,IT,5,102463,4839
Graphic Designer,Female,65,1,Masters,Engineering,4,126633,9680
IT,Female,32,2,Masters,IT,5,52096,3165
Marketing Associate,Female,29,2,Masters,Marketing,2,121353,8632
Sales Associate,Female,37,3,Masters,Marketing,5,89352,3604
Marketing Associate,Male,55,2,College,Finance,4,128222,4432
Financial Analyst,Male,32,3,PhD,Finance,1,146412,3223
Manager,Female,25,4,PhD,Management,1,105855,4233
Manager,Male,42,3,College,Marketing,2,108150,8751
Marketing Associate,Female,56,2,PhD,Administration,1,113401,8492
Graphic Designer,Female,34,3,College,Finance,5,107892,9287
Marketing Associate,Female,52,3,College,Administration,2,107295,6610
Manager,Male,26,2,High School,Administration,3,147608,8379
Software Engineer,Female,43,4,High School,Engineering,5,65067,7371
Marketing Associate,Female,22,2,College,Administration,2,121815,9098
IT,Male,47,5,High School,Administration,1,124580,5609
Marketing Associate,Male,63,2,PhD,Administration,1,73695,6908
Human Resources,Male,48,3,Masters,Finance,1,67905,9757
Human Resources,Female,29,4,High School,Operations,3,137421,4055
Marketing Associate,Male,64,5,PhD,Administration,3,113851,3015
Marketing Associate,Female,52,3,College,Marketing,2,84775,3937
Marketing Associate,Male,41,5,High School,Sales,1,54576,3375
Sales Associate,Female,46,2,Masters,IT,1,90839,8265
IT,Female,65,5,Masters,Engineering,3,72244,5113
Marketing Associate,Female,50,4,College,Administration,3,148445,5943
Financial Analyst,Female,29,2,PhD,IT,4,145967,9389
Sales Associate,Female,51,1,High School,IT,2,86850,5740
Marketing Associate,Male,37,2,PhD,IT,5,50370,3087
Software Engineer,Male,61,4,Masters,IT,3,91375,3074
Financial Analyst,Male,32,1,High School,Management,3,118793,8930
Software Engineer,Female,32,4,High School,Administration,3,56627,6585
Financial Analyst,Female,25,2,High School,Sales,5,72620,9170
Financial Analyst,Male,35,1,High School,IT,3,66243,3479
Sales Associate,Male,41,2,Masters,Engineering,4,58182,7297
IT,Female,46,3,College,Operations,3,126602,3187
Software Engineer,Female,26,5,PhD,Management,3,96478,3482
Sales Associate,Female,63,5,Masters,Management,5,71091,9601
Graphic Designer,Male,40,2,High School,Management,2,56544,7135
Graphic Designer,Male,53,4,Masters,Marketing,2,59750,4352
Software Engineer,Male,62,1,High School,IT,3,125003,8146
Software Engineer,Male,41,2,Masters,IT,4,93938,7818
IT,Female,49,1,College,Management,4,68987,7238
IT,Female,31,1,Masters,IT,5,148280,5217
Marketing Associate,Female,60,2,Masters,IT,4,50094,6633
Graphic Designer,Female,30,5,College,IT,1,130266,5837
Sales Associate,Female,35,1,Masters,Sales,2,137667,4443
Financial Analyst,Female,58,2,High School,Administration,4,93407,5413
Sales Associate,Female,32,1,College,Engineering,2,68310,9560
Marketing Associate,Female,63,4,College,Administration,3,89972,4166
Sales Associate,Male,54,1,Masters,Engineering,3,104543,9123
Manager,Female,42,5,PhD,IT,3,141931,6121
Software Engineer,Female,56,1,College,Marketing,5,65271,4935
Marketing Associate,Male,41,2,College,Sales,4,69129,8715
Manager,Female,62,4,College,Management,2,111406,8750
Financial Analyst,Female,55,1,Masters,Sales,5,127446,5678
Graphic Designer,Female,36,5,High School,Operations,4,76802,3172
Financial Analyst,Female,47,1,High School,Engineering,3,52917,8940
Manager,Female,60,1,PhD,Operations,2,81004,4214
Graphic Designer,Male,52,1,Masters,Management,5,74538,3704
Financial Analyst,Female,54,2,PhD,Finance,2,103366,9851
Software Engineer,Female,24,1,High School,Sales,5,148804,7814
Financial Analyst,Male,59,3,College,Engineering,2,85175,3895
Sales Associate,Female,52,1,High School,Operations,3,123256,4247
Graphic Designer,Male,48,5,Masters,Management,4,59321,3335
Human Resources,Male,44,2,College,Management,1,139205,4768
IT,Female,45,1,High School,Sales,2,93044,3209
IT,Male,61,5,Masters,IT,2,132789,7472
IT,Female,65,3,High School,Sales,5,53454,3139
Financial Analyst,Female,62,5,College,Engineering,2,106473,3681
Graphic Designer,Male,26,1,Masters,Finance,3,138170,9927
Graphic Designer,Male,64,1,Masters,Marketing,2,95212,9940
Software Engineer,Male,59,1,High School,IT,3,128013,9548
Financial Analyst,Male,48,3,College,Administration,5,92793,8312
Graphic Designer,Female,20,1,College,Sales,2,88274,8052
Sales Associate,Male,48,2,College,Operations,1,111142,4004
Manager,Male,55,5,High School,IT,5,86839,9151
Financial Analyst,Male,58,5,Masters,IT,2,64347,8085
Financial Analyst,Male,58,4,PhD,Finance,4,94808,6843
Marketing Associate,Female,53,1,High School,Management,3,59187,3617
Sales Associate,Male,60,4,Masters,Finance,5,82855,6998
Manager,Female,30,3,High School,Engineering,5,127884,8867
Marketing Associate,Female,64,4,College,Management,2,96025,9163
Manager,Male,25,5,Masters,Operations,2,126296,9085
Sales Associate,Male,57,3,Masters,Administration,3,149060,5335
Marketing Associate,Male,35,2,Masters,Marketing,3,57683,8658
Software Engineer,Female,40,2,Masters,Marketing,3,121743,8241
Financial Analyst,Male,48,5,Masters,Engineering,4,111133,7483
Marketing Associate,Male,23,4,College,Management,3,122206,3321
Sales Associate,Female,44,3,PhD,Marketing,3,53914,5315
Sales Associate,Male,60,3,Masters,Engineering,2,95710,6981
Marketing Associate,Male,30,3,PhD,Administration,1,127381,8029
Software Engineer,Female,20,4,College,Management,5,119930,7172
IT,Female,52,3,Masters,Administration,3,124503,7456
Graphic Designer,Female,28,1,PhD,Finance,5,76135,6314
IT,Female,21,2,Masters,Sales,5,146591,4818
IT,Female,49,2,Masters,Operations,1,126493,3378
IT,Male,45,4,PhD,Engineering,1,135639,4772
Sales Associate,Male,50,4,PhD,Marketing,2,65763,8209
Sales Associate,Female,60,5,College,Operations,5,89590,5271
Software Engineer,Male,40,1,Masters,Sales,5,51115,5812
Financial Analyst,Female,34,1,PhD,Operations,1,54870,4967
Financial Analyst,Female,64,3,PhD,Finance,4,90973,5217
Software Engineer,Male,42,5,College,Management,1,86566,8246
Financial Analyst,Female,48,3,College,Engineering,5,107509,7415
Marketing Associate,Male,47,1,High School,Engineering,4,122894,7815
Marketing Associate,Female,64,5,Masters,Administration,1,88956,4816
IT,Female,24,2,PhD,Operations,1,111678,8133
Marketing Associate,Male,28,5,High School,Marketing,3,122999,8287
Graphic Designer,Male,60,5,PhD,Marketing,5,108577,5204
Financial Analyst,Male,65,5,Masters,Administration,5,107068,7957
Graphic Designer,Male,34,4,High School,Operations,2,58360,4870
Software Engineer,Female,52,3,High School,IT,4,102357,9305
IT,Female,59,3,High School,Management,1,127902,7049
Human Resources,Male,42,1,High School,Finance,5,72255,9393
Manager,Male,29,4,College,Administration,1,132247,8274
Financial Analyst,Male,53,5,PhD,IT,4,123570,7355
Financial Analyst,Male,54,3,High School,Operations,4,71535,9000
Software Engineer,Male,27,3,Masters,Engineering,3,135763,8281
Human Resources,Male,24,1,College,Management,5,112620,5445
Graphic Designer,Female,29,5,College,Marketing,1,76367,4131
Marketing Associate,Male,36,4,Masters,Engineering,5,146056,4991
Marketing Associate,Female,35,1,Masters,Finance,3,103495,8633
Software Engineer,Male,31,3,PhD,Administration,1,84382,4996
Human Resources,Male,44,4,High School,Operations,4,82399,4619
IT,Male,36,4,Masters,Administration,5,71231,3310
IT,Male,49,5,Masters,IT,3,101430,4723
Sales Associate,Male,22,2,PhD,Operations,4,64507,6628
Sales Associate,Female,30,2,High School,IT,5,94905,8768
Financial Analyst,Male,21,2,High School,Management,2,77199,5233
Financial Analyst,Male,53,2,Masters,IT,4,66726,6436
Marketing Associate,Male,40,5,Masters,Marketing,2,53256,6436
Financial Analyst,Male,40,1,PhD,Marketing,2,58371,7098
Human Resources,Male,44,5,Masters,Sales,3,109935,3396
IT,Male,43,3,High School,Management,5,75846,7168
Software Engineer,Male,50,1,PhD,Marketing,5,86340,3200
Sales Associate,Female,35,4,PhD,IT,5,80973,9992
IT,Male,59,4,Masters,Operations,1,60079,6920
Software Engineer,Female,33,1,Masters,Finance,3,82798,7269
Software Engineer,Female,40,4,High School,Operations,3,79733,7881
Manager,Male,33,5,College,Administration,1,67411,6596
Human Resources,Female,48,2,PhD,IT,2,62683,4059
Graphic Designer,Female,29,3,High School,Engineering,5,81046,3205
Marketing Associate,Male,59,1,College,Administration,3,55986,4821
Sales Associate,Female,40,2,PhD,Management,4,58504,5174
IT,Male,35,4,College,IT,1,50179,5559
Financial Analyst,Female,56,5,High School,Sales,2,111253,8220
Manager,Female,33,2,Masters,Sales,1,128973,3130
Sales Associate,Male,29,3,High School,Marketing,2,112857,5087
Software Engineer,Female,54,3,College,Management,1,133454,9620
Marketing Associate,Female,20,5,Masters,Sales,2,128861,9685
IT,Female,47,2,Masters,Engineering,2,112591,3997
IT,Male,21,4,High School,Administration,3,83650,5899
Software Engineer,Female,40,4,High School,IT,4,104377,7192
Software Engineer,Male,33,1,PhD,Finance,4,63897,5251
Graphic Designer,Male,49,4,College,Operations,4,127541,3613
Marketing Associate,Male,48,3,High School,Operations,3,50747,4853
Manager,Male,20,5,High School,IT,2,149403,4416
Sales Associate,Female,50,4,High School,Administration,5,105651,9781
Manager,Male,43,4,High School,Engineering,5,130602,3271
Sales Associate,Male,43,5,College,Operations,3,135030,4432
Software Engineer,Male,46,1,Masters,Sales,2,65243,9516
Human Resources,Male,53,4,PhD,Finance,1,100085,9247
IT,Male,50,2,High School,Sales,4,89685,5590
Graphic Designer,Male,48,2,PhD,Finance,4,94071,9061
Human Resources,Male,55,2,Masters,Sales,4,104637,3372
Human Resources,Female,59,1,College,Sales,2,54204,3288
Financial Analyst,Female,39,3,PhD,Marketing,4,58981,7360
Manager,Male,47,1,College,Administration,4,69735,9152
Manager,Female,58,5,College,Marketing,1,102967,7443
Software Engineer,Female,36,5,PhD,Operations,2,113064,5923
Manager,Male,27,1,High School,Management,1,135669,8301
Manager,Male,52,2,PhD,IT,5,80152,5942
Graphic Designer,Female,49,1,High School,Finance,1,58338,3025
Human Resources,Female,49,4,High School,Finance,5,70416,3644
Software Engineer,Male,50,3,College,Marketing,5,89182,3139
Graphic Designer,Female,65,3,PhD,Engineering,2,108211,7400
Human Resources,Female,41,1,PhD,Finance,2,72120,6641
Marketing Associate,Female,56,5,Masters,Operations,3,69721,8658
Marketing Associate,Male,35,3,College,Finance,5,115805,8861
Marketing Associate,Male,49,2,Masters,Administration,2,60834,9837
Financial Analyst,Female,51,5,High School,IT,3,56720,5897
Manager,Female,25,5,PhD,IT,2,144026,3180
IT,Female,54,2,College,Sales,3,128142,3113
IT,Female,37,3,College,Administration,1,59523,3456
IT,Male,24,1,Masters,Sales,2,77061,3392
IT,Female,43,4,Masters,Marketing,2,108355,6525
Sales Associate,Male,31,5,Masters,Marketing,2,84813,9037
Human Resources,Male,35,4,PhD,Administration,2,60455,7798
Manager,Male,29,4,PhD,Operations,3,77549,9806
Marketing Associate,Female,34,4,College,Engineering,1,67007,7185
IT,Female,22,4,High School,IT,2,133584,5036
Sales Associate,Male,20,5,Masters,IT,3,122512,4364
Graphic Designer,Male,30,4,College,Operations,5,67868,7135
Marketing Associate,Female,30,3,College,Finance,1,147177,3633
Human Resources,Female,50,3,High School,Finance,1,90847,8204
Software Engineer,Male,52,1,PhD,Engineering,2,141175,8651
Financial Analyst,Female,26,3,Masters,Operations,5,103534,7013
Manager,Female,62,3,Masters,Marketing,5,81183,3420
Sales Associate,Female,25,4,Masters,Administration,2,137776,6751
Marketing Associate,Female,47,5,College,Marketing,5,115189,9634
Software Engineer,Male,50,2,High School,Finance,2,148963,3107
Human Resources,Female,23,4,High School,Finance,5,66483,4382
Graphic Designer,Female,41,1,Masters,Management,5,128123,8272
Software Engineer,Male,35,1,PhD,Operations,5,131787,5631
Sales Associate,Male,59,3,College,IT,3,118476,3540
Software Engineer,Female,60,3,College,Administration,4,79442,8093
Manager,Male,59,3,High School,Engineering,4,123782,4480
Human Resources,Female,35,1,Masters,Management,1,124550,8031
Software Engineer,Female,30,2,PhD,Administration,2,120866,7270
Human Resources,Male,50,4,PhD,Administration,4,106588,9014
Financial Analyst,Female,26,1,Masters,Management,4,55143,3988
Marketing Associate,Male,35,1,PhD,Sales,3,132549,4510
Software Engineer,Female,48,4,PhD,Management,3,79767,9225
Sales Associate,Male,48,1,Masters,Marketing,1,88994,9117
Graphic Designer,Male,25,2,PhD,IT,3,107131,6320
Marketing Associate,Male,33,1,Masters,Engineering,5,111667,3551
IT,Male,62,4,College,Management,4,60182,4188
Marketing Associate,Male,37,5,PhD,Finance,5,120050,5388
Human Resources,Male,37,3,Masters,Marketing,2,85387,9795
Graphic Designer,Male,32,1,PhD,Finance,5,67523,9145
Graphic Designer,Female,38,4,College,Engineering,1,67443,9591
Software Engineer,Male,41,3,High School,IT,1,148504,8897
Human Resources,Male,24,3,College,Finance,3,58084,6237
Marketing Associate,Female,45,1,High School,IT,4,109389,6764
Marketing Associate,Female,43,1,PhD,Operations,5,94213,9064
Graphic Designer,Male,27,3,Masters,Finance,2,147589,8804
Graphic Designer,Female,55,1,College,Sales,4,56253,7257
Software Engineer,Female,37,2,College,Finance,5,60856,5115
Graphic Designer,Female,38,1,College,IT,3,135425,7969
Software Engineer,Female,20,5,PhD,IT,2,77397,7340
